sample_id,R_score,I_score,A_score,S_score,E_score,C_score,R_norm,I_norm,A_norm,S_norm,E_norm,C_norm,r_CNTT,r_ATTT,r_MKT,r_TMDT,r_TTDPT,r_KETOAN,r_best,r_second,confidence,fit_quality,assigned_major,age,gender,education
11001,19.0,22.0,26.0,21.0,20.0,24.0,0.59375,0.6875,0.8125,0.65625,0.625,0.75,0.1765124,-0.040028967,-0.022740837,-0.06461726,0.6853853,0.17294076,0.6853853,0.1765124,0.50887287,Great Fit,TTDPT,20,1,2
4930,4.0,1.0,19.0,22.0,25.0,25.0,0.125,0.03125,0.59375,0.6875,0.78125,0.78125,-0.48112008,-0.26739535,0.6600629,0.67394304,-0.0025438883,0.38943043,0.67394304,0.6600629,0.0138801085,Great Fit,TMDT,20,2,2
14426,15.0,18.0,19.0,14.0,14.0,23.0,0.46875,0.5625,0.59375,0.4375,0.4375,0.71875,0.6789849,0.57686853,0.028644903,0.2467176,0.32611287,0.615046,0.6789849,0.615046,0.06393886,Great Fit,CNTT,15,2,1
2049,4.0,6.0,23.0,16.0,1.0,7.0,0.125,0.1875,0.71875,0.5,0.03125,0.21875,-0.34722364,-0.5967865,-0.40841097,-0.5132774,0.663425,-0.43935195,0.663425,-0.34722364,1.0106486,Great Fit,TTDPT,24,1,2
14003,0.0,19.0,0.0,18.0,27.0,32.0,0.0,0.59375,0.0,0.5625,0.84375,1.0,0.28884536,0.56604505,0.79287034,0.74503285,-0.675839,0.89461297,0.89461297,0.79287034,0.101742625,Best Fit,KETOAN,22,2,2
4368,7.0,8.0,10.0,5.0,6.0,27.0,0.21875,0.25,0.3125,0.15625,0.1875,0.84375,0.5828126,0.641418,0.21485914,0.5619069,0.061326813,0.7910253,0.7910253,0.641418,0.14960729,Best Fit,KETOAN,48,1,3
3859,24.0,22.0,3.0,0.0,4.0,14.0,0.75,0.6875,0.09375,0.0,0.125,0.4375,0.76873386,0.69304144,-0.4085834,-0.16779359,-0.1520649,0.11115438,0.76873386,0.69304144,0.075692415,Best Fit,CNTT,25,1,2
5743,8.0,6.0,8.0,3.0,15.0,12.0,0.25,0.1875,0.25,0.09375,0.46875,0.375,0.0049629547,0.21888387,0.76058567,0.84951806,0.003904045,0.5196832,0.84951806,0.76058567,0.08893239,Best Fit,TMDT,14,1,1
26464,4.0,1.0,8.0,2.0,24.0,29.0,0.125,0.03125,0.25,0.0625,0.75,0.90625,0.0805903,0.33319432,0.790169,0.96516013,-0.10372528,0.77066123,0.96516013,0.790169,0.17499112,Best Fit,TMDT,16,2,2
22305,15.0,22.0,22.0,20.0,17.0,24.0,0.46875,0.6875,0.6875,0.625,0.53125,0.75,0.4876438,0.36177087,0.09828976,0.041817017,0.18872634,0.5262204,0.5262204,0.4876438,0.03857654,Good Fit,KETOAN,51,1,3
27500,13.0,32.0,10.0,18.0,16.0,24.0,0.40625,1.0,0.3125,0.5625,0.5,0.75,0.79300475,0.8070644,0.15293507,0.037688207,-0.5691093,0.60710263,0.8070644,0.79300475,0.014059633,Best Fit,ATTT,26,1,4
12356,5.0,26.0,10.0,21.0,17.0,29.0,0.15625,0.8125,0.3125,0.65625,0.53125,0.90625,0.5489691,0.65785414,0.45238653,0.36023605,-0.53759634,0.82001156,0.82001156,0.65785414,0.16215743,Best Fit,KETOAN,21,2,3
16412,15.0,2.0,2.0,6.0,5.0,11.0,0.46875,0.0625,0.0625,0.1875,0.15625,0.34375,0.14837542,0.30766097,-0.24481331,0.29435068,-0.23006876,0.123129256,0.30766097,0.29435068,0.013310306,Good Fit,ATTT,33,1,2
10666,26.0,28.0,2.0,16.0,13.0,18.0,0.8125,0.875,0.0625,0.5,0.40625,0.5625,0.6326516,0.6885646,-0.25805655,-0.122392654,-0.65419275,0.18619485,0.6885646,0.6326516,0.055912986,Great Fit,ATTT,15,1,1
3544,3.0,13.0,13.0,20.0,18.0,16.0,0.09375,0.40625,0.40625,0.625,0.5625,0.5,-0.26591766,-0.11018076,0.6628833,0.37231234,-0.32703316,0.42278484,0.6628833,0.42278484,0.24009846,Great Fit,MKT,21,2,2
14009,6.0,28.0,4.0,18.0,20.0,14.0,0.1875,0.875,0.125,0.5625,0.625,0.4375,0.344261,0.45284274,0.42998514,0.093051195,-0.7306149,0.4279325,0.45284274,0.42998514,0.022857592,Good Fit,ATTT,18,1,2
8233,12.0,6.0,28.0,16.0,12.0,11.0,0.375,0.1875,0.875,0.5,0.375,0.34375,-0.6081581,-0.787388,-0.21489634,-0.261772,0.82855344,-0.518382,0.82855344,-0.21489634,1.0434498,Best Fit,TTDPT,18,1,2
11970,1.0,1.0,3.0,11.0,10.0,12.0,0.03125,0.03125,0.09375,0.34375,0.3125,0.375,-0.25013077,0.05164167,0.6709117,0.73432326,-0.4455832,0.60448396,0.73432326,0.6709117,0.06341155,Best Fit,TMDT,22,1,4
3421,0.0,0.0,31.0,4.0,10.0,0.0,0.0,0.0,0.96875,0.125,0.3125,0.0,-0.5281747,-0.72177774,0.0055446513,-0.20197536,0.8545033,-0.44399345,0.8545033,0.0055446513,0.8489586,Best Fit,TTDPT,14,2,2
10163,7.0,20.0,11.0,15.0,23.0,18.0,0.21875,0.625,0.34375,0.46875,0.71875,0.5625,0.16996478,0.36296135,0.85421693,0.5419964,-0.5331887,0.6638045,0.85421693,0.6638045,0.19041248,Best Fit,MKT,18,2,2
3335,14.0,10.0,23.0,10.0,11.0,5.0,0.4375,0.3125,0.71875,0.3125,0.34375,0.15625,-0.4769648,-0.74967235,-0.40916172,-0.5513305,0.87335557,-0.7893922,0.87335557,-0.40916172,1.2825173,Best Fit,TTDPT,59,1,2
